fragmentationMode	lipidClass	additional_element	neutral_loss	diagnostic	countOfChains	countOfStandardAcylsChains	containsHydroxy	sialic	acylChain.AcylChainType	acylChain.NumCarbons	acylChain.NumDoubleBonds	acylChain.HydroxyPosition	C	H	N	O	P	S	desc	target_acylChains
Positive	PC		0	0					Ether				X+3	2X-2Y+5	0	1	0	0	[RCO+58]-H2O	
Positive	PC		0	0	2				Ether				X+8	2X-2Y+21	1	6	1	0	LPC(O-)	
Positive	PC		0	0	2				Ether				X+8	2X-2Y+19	1	5	1	0	LPC(O-)-H2O	
Positive	PC		0	0	2				Ether				X+3	2X-2Y+7	0	1	0	0	[RCO+58]-O	
Positive	PC		0	0	2				Ether				X	2X-2Y+1	0	1	0	0	[RCO]-2H	
Positive	PC		0	0	2				Ether				X	2X-2Y+1	0	0	0	0	[RCO-H2O]	
Positive	PC		0	0	2				Ether				X+5	2X-2Y+12	0	6	1	0	loss of ketene-59	
Positive	PC		0	0	2				Ether				X+5	2X-2Y+10	0	5	1	0	loss of ether chain-59	
Positive	PC		1	0					OxoCHO				5	14	1	4	1	0	M-C5H14O4NP	
Positive	PC		1	0					OxoCHO				3	9	1	0	0	0	M-(CH2)3NH3	
Positive	PC		0	0					OxoCHO				X+8	2X-2Y+15	1	7	1	0	loss of oxidized FA	
Positive	PC		1	0					OxoCOOH				5	14	1	4	1	0	M-C5H14O4NP	
Positive	PC		1	0					OxoCOOH				3	9	1	0	0	0	M-(CH2)3NH3	
Positive	PC		0	0					OxoCOOH				X+8	2X-2Y+15	1	8	1	0	loss of oxidized FA	
Positive	PC		0	0		2							X+3	2X-2Y+3	0	4	0	0	DAG	
Positive	PE		1	1	>1								2	8	1	4	1	0	M-C2H8NO4P / DAG	
Positive	PE		1	1	1								2	8	1	4	1	0	M-C2H8NO4P	
Positive	PE		1	0									0	2	0	1	0	0	M-H2O	
Positive	PE_NMe		1	1									3	10	1	4	1	0	C3H10O4NP	
Positive	PE_NMe		1	0									3	11	1	4	1	0	C3H10O4NP	
Positive	PE_NMe2		1	1									4	12	1	4	1	0	C3H10O4NP	
Positive	PE_NMe2		1	0									4	13	1	4	1	0	C3H10O4NP	
Positive	PE		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PE_NMe		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PE_NMe2		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PE		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PE_NMe		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PE_NMe2		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PE		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PE_NMe		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PE_NMe2		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PE		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Positive	PE_NMe		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Positive	PE_NMe2		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Positive	PE		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Positive	PE_NMe		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Positive	PE_NMe2		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Positive	PE		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PE_NMe		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PE_NMe2		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PE		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PE_NMe		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PE_NMe2		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PE		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PE_NMe		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PE_NMe2		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PE		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PE_NMe		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PE_NMe2		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PE		0	0	2				Plasmalogen				X+2	2X-2Y+7	1	4	1	0	plasmalogen (rearranged)	
Positive	PE_NMe		0	0	2				Plasmalogen				X+2	2X-2Y+7	1	4	1	0	plasmalogen (rearranged)	
Positive	PE_NMe2		0	0	2				Plasmalogen				X+2	2X-2Y+7	1	4	1	0	plasmalogen (rearranged)	
Positive	PE		0	0	2				Plasmalogen				X+2	2X-2Y+5	1	3	1	0	plasmalogen (rearranged)-H2O	
Positive	PE_NMe		0	0	2				Plasmalogen				X+2	2X-2Y+5	1	3	1	0	plasmalogen (rearranged)-H2O	
Positive	PE_NMe2		0	0	2				Plasmalogen				X+2	2X-2Y+5	1	3	1	0	plasmalogen (rearranged)-H2O	
Positive	PE		0	0	2				Plasmalogen				X+5	2X-2Y+9	1	6	1	0	LPE(P-)	
Positive	PE_NMe		0	0	2				Plasmalogen				X+5	2X-2Y+9	1	6	1	0	LPE(P-)	
Positive	PE_NMe2		0	0	2				Plasmalogen				X+5	2X-2Y+9	1	6	1	0	LPE(P-)	
Positive	PE		0	0	2				Plasmalogen				X+5	2X-2Y+7	1	5	1	0	LPE(P-)-H2O	
Positive	PE_NMe		0	0	2				Plasmalogen				X+5	2X-2Y+7	1	5	1	0	LPE(P-)-H2O	
Positive	PE_NMe2		0	0	2				Plasmalogen				X+5	2X-2Y+7	1	5	1	0	LPE(P-)-H2O	
Positive	PE		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PE_NMe		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PE_NMe2		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PE		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PE_NMe		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PE_NMe2		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PE		0	0	2				Ether				X+2	2X-2Y+9	1	4	1	0	ether	
Positive	PE_NMe		0	0	2				Ether				X+2	2X-2Y+9	1	4	1	0	ether	
Positive	PE_NMe2		0	0	2				Ether				X+2	2X-2Y+9	1	4	1	0	ether	
Positive	PE		0	0	2				Ether				X+2	2X-2Y+7	1	3	1	0	ether-H2O	
Positive	PE_NMe		0	0	2				Ether				X+2	2X-2Y+7	1	3	1	0	ether-H2O	
Positive	PE_NMe2		0	0	2				Ether				X+2	2X-2Y+7	1	3	1	0	ether-H2O	
Positive	PS		1	1	>1								3	8	1	6	1	0	M-C3H8NO6P / DAG	
Positive	PS		1	1	1								3	8	1	6	1	0	M-C3H8NO6P	
Positive	PS		1	0									0	2	0	1	0	0	M-H2O	
Positive	PS		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PS		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PS		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PS		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Positive	PS		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Positive	PS		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PS		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PS		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PS		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PS		0	0	2				Plasmalogen				X+3	2X-2Y+6	1	6	1	0	plasmalogen (rearranged)	
Positive	PS		0	0	2				Plasmalogen				X+3	2X-2Y+4	1	5	1	0	plasmalogen (rearranged)-H2O	
Positive	PS		0	0	2				Plasmalogen				X+6	2X-2Y+9	1	8	1	0	LPS(P-)	
Positive	PS		0	0	2				Plasmalogen				X+6	2X-2Y+7	1	7	1	0	LPS(P-)-H2O	
Positive	PS		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PS		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PS		0	0	2				Ether				X+6	2X-2Y+13	1	8	1	0	ether	
Positive	PS		0	0	2				Ether				X+6	2X-2Y+11	1	7	1	0	ether-H2O	
Positive	PG		1	1									3	12	1	6	1	0	M-C3H12O6NP	
Positive	PG		1	0									0	4	1	0	0	0	M+NH4	
Positive	PG		1	0									0	2	0	1	0	0	M-H2O	
Positive	PG		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PG		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PG		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PG		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPG-H	
Positive	PG		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPG-H2O-H	
Positive	PG		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PG		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PG		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PG		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PG		0	0	2				Plasmalogen				X+3	2X-2Y+6	1	6	1	0	plasmalogen (rearranged)	
Positive	PG		0	0	2				Plasmalogen				X+3	2X-2Y+4	1	5	1	0	plasmalogen (rearranged)-H2O	
Positive	PG		0	0	2				Plasmalogen				X+6	2X-2Y+9	1	8	1	0	LPG(P-)	
Positive	PG		0	0	2				Plasmalogen				X+6	2X-2Y+7	1	7	1	0	LPG(P-)-H2O	
Positive	PG		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PG		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PG		0	0	2				Ether				X+2	2X-2Y+9	1	4	1	0	ether	
Positive	PG		0	0	2				Ether				X+2	2X-2Y+7	1	3	1	0	ether-H2O	
Positive	PG		0	0		2							X+3	2X-2Y+3	0	4	0	0	DAG	
Positive	GlcCer		1	0									6	10	0	5	0	0	M-sugar	
Positive	GalCer		1	0									6	10	0	5	0	0	M-sugar	
Positive	LacCer		1	0									6	10	0	5	0	0	M-sugar	
Positive	GlcCer		1	0									6	12	0	6	0	0	M-sugar-H2O	
Positive	GalCer		1	0									6	12	0	6	0	0	M-sugar-H2O	
Positive	LacCer		1	0									6	12	0	6	0	0	M-sugar-H2O	
Positive	LacCer		1	0									12	22	0	11	0	0	M-2(sugar)	
Positive	CerP		1	0									0	3	0	4	1	0	M-H3PO4	
Positive	CerP		1	0									0	5	0	5	1	0	M-H3PO4-H2O	
Positive	CerP		1	0									0	1	0	3	1	0	M-HPO3	
Positive	SM		0	1									5	15	1	4	1	0	C5H15O4NP	
Positive	SM		1	0									3	9	1	0	0	0	M-(CH2)3NH3	
Positive	SM		0	0									5	14	1	1	0	0	C5H14ON	
Positive	SM		0	0									2	6	0	4	1	0	C2H6O4P	
Positive	PE_Cer		1	0									2	7	1	1	0	0	M-C2H7NO	
Positive	PE_Cer		1	1									2	8	1	4	1	0	M-C2H8NO4P	
Positive	PE_Cer		1	0									2	10	1	5	1	0	M-(C2H8NO4P + H2O)	
Positive	PI_Cer		0	0									6	10	0	8	1	0	C6H10O8P	
Positive	Cer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	CerH2O		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	Cer2H2O		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	GlcCer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	GalCer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	LacCer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	CerP		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	SM		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	PE_Cer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	PI_Cer		1	0	>1								0	2	0	1	0	0	M-H2O	
Positive	Cer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	GlcCer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	GalCer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	LacCer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	CerP		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	SM		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	PE_Cer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	PI_Cer		1	0	>1								0	4	0	2	0	0	M-2(H2O)	
Positive	PE_Cer		1	0	1								0	2	0	1	0	0	M-H2O	
Positive	PI_Cer		1	0	1								0	2	0	1	0	0	M-H2O	
Positive	PE_Cer		1	0	1								0	4	0	2	0	0	M-2(H2O)	
Positive	PI_Cer		1	0	1								0	4	0	2	0	0	M-2(H2O)	
Positive	Cer		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	CerH2O		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	Cer2H2O		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	GlcCer		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	GalCer		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	LacCer		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	CerP		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	SM		1	0	1				Monohydro				0	2	0	1	0	0	M-H2O	
Positive	Cer		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	GlcCer		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	GalCer		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	LacCer		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	CerP		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	SM		1	0	1				Monohydro				0	4	0	2	0	0	M-2(H2O)	
Positive	Cer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	CerH2O		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	Cer2H2O		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	GlcCer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	GalCer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	LacCer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	CerP		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	SM		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PE_Cer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PI_Cer		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	Cer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	CerH2O		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	Cer2H2O		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	GlcCer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	GalCer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	LacCer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	CerP		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	SM		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	PE_Cer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	PI_Cer		0	0					Standard				X+2	2X-2Y+2	1	1	0	0	FA long	
Positive	Cer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	CerH2O		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	Cer2H2O		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	GlcCer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	GalCer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	LacCer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	CerP		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	SM		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	PE_Cer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	PI_Cer		0	0					Standard				X	2X-2Y+2	1	1	0	0	FA short	
Positive	Cer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	CerH2O		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	Cer2H2O		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	GlcCer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	GalCer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	LacCer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	CerP		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	SM		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	PE_Cer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	PI_Cer		0	1					Monohydro				X	2X-2Y+2	1	0	0	0	LCB	
Positive	Cer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	CerH2O		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	Cer2H2O		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	GlcCer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	GalCer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	LacCer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	CerP		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	SM		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	PE_Cer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	PI_Cer		0	0					Monohydro				X	2X-2Y+4	1	1	0	0	LCB+H2O	
Positive	SM		0	0					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	Cer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	CerH2O		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	Cer2H2O		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	GlcCer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	GalCer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	LacCer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	CerP		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	PE_Cer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	PI_Cer		0	1					Dihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	Cer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	CerH2O		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	Cer2H2O		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	GlcCer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	GalCer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	LacCer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	CerP		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	SM		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	PE_Cer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	PI_Cer		0	0					Dihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	Cer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	CerH2O		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	Cer2H2O		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	GlcCer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	GalCer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	LacCer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	CerP		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	SM		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	PE_Cer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	PI_Cer		0	0					Dihydro				X-1	2X-2Y	1	0	0	0	LCB-CH2	
Positive	Cer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	CerH2O		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	Cer2H2O		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	GlcCer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	GalCer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	LacCer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	CerP		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	SM		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	PE_Cer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	PI_Cer		0	0					Hydroxy				X	2X-2Y-1	0	2	0	0	FA+OH	
Positive	Cer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	CerH2O		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	Cer2H2O		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	GlcCer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	GalCer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	LacCer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	CerP		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	SM		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	PE_Cer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	PI_Cer		0	0					Hydroxy				X	2X-2Y-2	1	1	0	0	FA+NH2	
Positive	Cer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	CerH2O		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	Cer2H2O		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	GlcCer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	GalCer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	LacCer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	CerP		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	SM		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	PE_Cer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
Positive	PI_Cer		0	0					Hydroxy				X+2	2X-2Y+2	1	2	0	0	FA long	
